路線別着時間帯別駅間輸送定員表,,,単位：人,,,,,,,,,,,,,,,,,,,,
事業者名,路線名,方向,発駅名,着駅名,"始発～
　 6:59","7:00～
　 7:29","7:30～
　 7:59","8:00～
　 8:29","8:30～
　 8:59","9:00～
　 9:29","9:30～
　 9:59","10:00～
　 10:59","11:00～
　 12:59","13:00～
　 14:59","15:00～
　 16:59","17:00～
　 17:59","18:00～
　 18:59","19:00～
　 19:59","20:00～
　 20:59","21:00～
　 21:59","22:00～
　 22:59","23:00～
　 23:59","24:00～
　   終発"
,,,桂川,西大路,"6,971","7,626","7,554","14,047","13,617","12,029","9,577","16,633","23,774","20,080","26,700","16,241","19,074","18,908","17,116","17,806","16,292","11,647","8,972"
,,,西大路,京都,"6,971","7,626","6,489","14,166","13,795","11,645","8,571","16,936","24,038","20,080","27,523","15,993","19,074","18,908","17,116","18,054","16,292","11,647","8,972"
,,,京都,山科,"10,449","6,993","8,100","12,012","11,608","9,809","7,850","13,410","26,717","23,619","26,180","16,781","17,949","19,076","15,878","15,503","16,411","9,180","6,072"
,,,山科,大津,"6,843","4,394","7,417","5,747","11,450","8,585","7,974","10,738","21,436","18,244","17,678","12,275","12,881","14,125","11,482","12,752","11,536","8,768","6,052"
,,,大津,膳所,"6,020","3,571","6,315","8,495","9,804","8,230","5,293","9,659","18,692","14,689","16,052","12,255","12,593","14,433","11,462","12,772","10,972","8,768","7,698"
,,,膳所,石山,"6,020","3,571","6,315","6,849","11,450","6,584","6,939","9,659","18,692","14,689","16,052","12,255","12,593","14,433","11,462","12,772","10,972","8,768","7,698"
,,,石山,瀬田,"6,020","3,571","6,315","5,784","12,515","6,584","6,939","9,659","18,692","14,689","14,970","10,626","13,658","14,433","11,462","12,772","12,618","8,768","7,698"
,,,瀬田,南草津,"6,020","3,571","6,315","5,784","9,223","9,876","6,939","9,659","18,692","14,689","14,970","10,626","13,658","14,433","11,462","12,772","12,618","8,768","7,698"
,,,南草津,草津,"6,020","2,469","6,335","6,866","9,223","8,230","8,585","9,659","18,692","14,689","14,970","10,626","13,658","14,433","11,462","12,772","12,618","8,768","7,698"
,,,草津,栗東,"6,020","2,469","6,335","5,476","6,224","9,908","6,939","11,305","17,853","14,164","15,511","10,347","13,082","10,672","12,245","12,334","12,618","9,332","8,780"
,,,栗東,守山,"6,020","2,469","5,233","4,932","7,870","9,908","5,293","12,112","18,692","14,164","14,446","9,282","10,952","10,672","11,180","12,334","12,618","9,332","8,780"
,,,守山,野洲,"6,020","2,469","3,587","6,578","6,506","9,626","6,939","12,112","18,692","14,164","14,446","9,282","10,952","10,672","11,180","12,334","12,618","9,332","8,780"
,,,野洲,篠原,"4,938","1,905","2,748","5,496","3,214","4,656","3,647","6,328","10,446","7,895","8,436","7,118","7,417","8,524","4,912","6,294","9,056","6,040","2,164"
,,,篠原,近江八幡,"4,938","1,082","3,571","4,394","4,138","4,834","2,001","6,328","11,010","7,895","8,436","6,554","7,417","8,524","6,558","6,294","7,410","7,686","2,164"
,,,近江八幡,安土,"4,938","1,082","3,571","4,394","4,138","3,188","2,001","7,974","11,010","7,895","8,436","6,554","7,417","8,524","6,558","6,294","7,410","7,686","2,164"
,,,安土,能登川,"4,938","1,082","3,571","2,748","5,784","1,542","3,647","7,974","11,010","7,895","8,436","6,554","7,417","8,524","6,558","6,294","7,410","6,584","3,266"
,,,能登川,稲枝,"4,938","1,082","2,469","3,850","2,748","4,578","3,647","6,584","10,754","8,718","9,259","5,472","7,417","8,524","6,558","5,986","7,122","8,262","3,266"
,,,稲枝,河瀬,"4,938","1,082","2,469","3,850","2,748","4,578","3,647","6,584","10,754","8,718","8,420","6,311","7,417","8,524","6,558","5,986","7,122","8,262","3,266"
,,,河瀬,南彦根,"4,938","1,082","2,469","2,748","3,850","4,578","3,647","6,584","10,754","8,718","8,420","6,311","7,417","8,524","6,558","5,986","7,122","8,262","3,266"
,,,南彦根,彦根,"3,292","1,646","2,728","3,571","3,850","3,214","5,011","6,584","10,754","8,718","8,420","6,311","7,417","8,524","6,558","5,986","7,122","8,262","3,266"
,,,,,,,,,,,,,,,,,,,,,,,
,大阪環状線,内回り,天王寺,寺田町,"16,746","8,942","8,918","10,014","8,936","7,798","8,876","13,081","25,827","25,755","24,916","15,560","17,770","17,770","17,728","11,116","8,888","6,720","2,240"
,,,寺田町,桃谷,"16,746","7,822","8,918","11,134","8,936","7,798","7,756","14,201","25,827","25,755","24,916","14,440","17,770","17,770","17,752","11,092","10,008","6,720","2,240"
,,,桃谷,鶴橋,"15,626","8,942","8,918","10,038","8,912","7,798","8,876","14,201","25,827","25,755","24,916","14,440","17,770","17,770","17,752","11,092","8,912","7,816","2,240"
,,,鶴橋,玉造,"15,626","7,822","8,918","10,056","10,014","7,798","8,876","13,081","25,827","25,755","24,916","14,440","17,770","17,770","17,752","12,212","8,912","7,816","2,240"
,,,玉造,森ノ宮,"14,506","7,822","10,038","8,936","10,014","7,798","8,894","14,183","25,827","25,755","24,916","14,440","17,770","17,770","17,752","12,212","8,912","7,816","2,240"
,,,森ノ宮,大阪城公園,"14,506","6,720","10,020","10,056","10,014","7,798","8,894","13,081","25,827","26,018","24,653","14,440","17,770","17,752","17,770","12,212","8,894","8,936","2,240"
,,,大阪城公園,京橋,"14,506","6,720","8,900","10,056","10,014","7,798","8,894","14,201","25,827","26,018","24,653","14,440","17,770","17,752","17,770","12,212","8,894","8,936","2,240"
,,,京橋,桜ノ宮,"22,238","8,918","10,020","8,936","11,134","7,798","7,774","18,609","29,139","26,018","31,355","17,752","17,770","17,752","17,770","13,308","9,996","7,816","3,360"
