性・年齢階層別利用者数,,,,,,,,,,,,,,,,,,,
　属性別利用者数：居住地ブロック別性・年齢階層別利用者数（定期券利用者、通勤・通学別）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
通勤・通学,性別,地域,～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70歳～,不明,,,
通勤,不明,その他区部,0,0,0,0,0,0,0,0,0,0,0,0,0,112,,,
通勤,不明,大阪北西部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,大阪北東部,0,0,0,0,0,0,0,0,0,0,0,0,0,62,,,
通勤,不明,北河内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,中河内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,南河内,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,
通勤,不明,泉北,0,0,0,0,0,0,22,0,0,0,0,0,0,137,,,
通勤,不明,泉南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,神戸市,0,0,0,0,0,0,0,47,0,0,0,0,0,0,,,
通勤,不明,阪神臨海,0,0,0,0,0,0,0,0,0,0,0,0,0,63,,,
通勤,不明,阪神内陸,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,
通勤,不明,篠山市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,東播臨海,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,東播内陸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,姫路市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,京都中部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,京都市,0,0,0,0,0,0,0,0,0,0,0,0,0,75,,,
通勤,不明,京都南部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,北和,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,中和西部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,中和東部,0,0,0,0,0,0,0,0,0,0,0,0,0,62,,,
通勤,不明,南和,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,大津湖南,0,0,0,0,32,0,0,0,0,0,0,0,0,0,,,
通勤,不明,甲賀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,中部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,琵琶湖東北部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,橋本,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,和歌山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,伊賀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通勤,不明,不明,0,0,0,0,0,0,0,0,0,0,0,0,0,660,,,
通勤,不明,近畿圏計,0,0,0,0,32,0,22,47,0,0,0,0,0,"1,256",,,
通学,男性,都心３区,274,661,541,0,0,0,349,0,0,0,0,0,0,0,,,
通学,男性,副都心２区,116,544,804,0,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,その他区部,542,"9,266","6,973","5,691",351,226,378,129,0,742,110,292,0,0,,,
通学,男性,大阪北西部,691,"3,213","3,798",686,376,388,0,0,0,0,307,0,0,0,,,
通学,男性,大阪北東部,"1,390","7,510","5,054","1,286",752,228,0,0,0,0,212,0,179,671,,,
通学,男性,北河内,621,"7,388","4,196","1,810",0,0,0,0,380,212,0,0,0,0,,,
通学,男性,中河内,746,"4,217","3,669",369,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,南河内,845,"4,576","3,179",519,244,0,142,0,0,0,0,0,0,0,,,
通学,男性,泉北,505,"8,601","5,430","3,357",654,0,279,0,0,0,0,81,577,168,,,
通学,男性,泉南,323,"6,743","1,538","1,255",0,148,0,0,0,0,0,0,0,110,,,
通学,男性,神戸市,"1,392","14,671","9,909","4,045",719,689,0,409,54,0,204,0,409,819,,,
通学,男性,阪神臨海,"1,520","8,999","5,270","1,601",128,0,0,189,0,0,135,170,0,0,,,
通学,男性,阪神内陸,541,"3,636","3,379",785,482,0,0,0,0,0,0,243,0,0,,,
通学,男性,篠山市,0,0,133,0,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,東播臨海,331,"3,491","4,129",0,0,0,0,0,0,0,0,421,0,0,,,
通学,男性,東播内陸,129,482,684,551,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,姫路市,0,"1,762","1,091",761,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,京都中部,0,"1,045",690,0,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,京都市,"1,263","7,876","3,839","1,965",780,166,474,0,0,417,0,0,0,257,,,
通学,男性,京都南部,185,"4,116","5,684","3,577",0,0,0,0,0,0,0,0,0,0,,,
通学,男性,北和,627,"6,337","6,671","3,401",224,0,0,0,0,0,0,0,0,0,,,
通学,男性,中和西部,162,"4,586","1,981",0,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,中和東部,221,"1,349",902,0,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,南和,0,0,200,0,0,0,128,0,0,0,0,0,0,0,,,
通学,男性,大津湖南,445,"4,886","3,350","3,372",0,0,0,0,0,0,0,0,0,0,,,
通学,男性,甲賀,0,"1,424",937,0,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,中部,134,"1,562","2,198",0,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,琵琶湖東北部,0,597,973,0,0,0,0,0,0,0,0,0,0,0,,,
通学,男性,橋本,0,303,0,0,0,0,135,0,0,0,0,0,0,0,,,
通学,男性,和歌山,0,656,866,0,0,0,0,0,0,0,0,0,0,468,,,
通学,男性,伊賀,0,855,950,0,0,0,0,0,0,0,0,695,0,0,,,
通学,男性,不明,749,"5,643","2,804","1,580",694,0,376,0,0,0,129,366,141,0,,,
通学,男性,近畿圏計,"13,752","126,995","91,822","36,611","5,404","1,845","2,261",727,434,"1,371","1,097","2,268","1,306","2,493",,,
通学,女性,都心３区,53,928,"1,413","1,171",0,90,0,0,80,0,0,0,80,0,,,
通学,女性,副都心２区,0,550,284,0,0,336,0,0,0,0,0,0,0,0,,,
通学,女性,その他区部,867,"11,375","7,669","1,554",171,241,299,0,311,0,0,339,0,0,,,
通学,女性,大阪北西部,120,"5,768","5,590",308,0,0,0,0,0,189,0,0,96,0,,,
通学,女性,大阪北東部,"2,043","7,944","6,470","1,551",259,290,262,102,241,0,0,0,134,0,,,
通学,女性,北河内,0,"12,387","7,036","1,175",646,0,237,112,112,289,0,0,0,0,,,
通学,女性,中河内,284,"9,597","6,831",0,372,194,0,0,0,0,0,0,0,0,,,
通学,女性,南河内,636,"10,106","5,070",404,0,0,0,121,0,0,0,0,0,195,,,
通学,女性,泉北,307,"10,073","4,544","2,167",0,0,0,0,231,0,0,0,0,0,,,
通学,女性,泉南,449,"6,742","4,010",614,0,0,0,0,0,0,127,0,0,0,,,
通学,女性,神戸市,"1,384","14,269","11,290","1,268",249,329,0,0,565,364,"1,500",0,372,0,,,
通学,女性,阪神臨海,"1,129","9,325","9,799","1,800",954,0,0,0,0,106,0,0,396,0,,,
通学,女性,阪神内陸,871,"5,048","6,448","1,035",0,80,0,0,0,0,0,0,0,0,,,
通学,女性,篠山市,0,0,342,0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,東播臨海,302,"5,867","3,888","1,774",321,352,0,321,0,0,136,0,0,225,,,
通学,女性,東播内陸,0,592,455,0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,姫路市,0,"1,916","2,918",0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,京都中部,0,438,727,0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,京都市,"2,030","8,618","7,970","3,598",0,415,0,0,0,0,92,0,0,0,,,
通学,女性,京都南部,718,"6,141","5,627",0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,北和,220,"6,104","4,050","4,005","1,587",0,0,0,0,0,0,0,0,0,,,
通学,女性,中和西部,745,"2,314","1,361",571,0,0,0,192,0,0,0,0,0,0,,,
通学,女性,中和東部,0,"1,434","1,882",0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,南和,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,大津湖南,0,"5,069","5,356",0,613,0,0,0,0,0,0,0,0,0,,,
通学,女性,甲賀,251,0,335,0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,中部,0,343,644,0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,琵琶湖東北部,0,249,321,0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,橋本,0,753,"1,139",0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,和歌山,0,650,"1,396",0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,伊賀,0,750,"1,072",0,0,0,0,0,0,0,0,0,0,0,,,
通学,女性,不明,917,"5,247","4,605",588,158,856,50,0,0,116,0,237,0,"1,090",,,
通学,女性,近畿圏計,"13,326","150,597","120,542","23,583","5,330","3,183",848,848,"1,540","1,064","1,855",576,"1,078","1,510",,,
通学,不明,都心３区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,副都心２区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,その他区部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,大阪北西部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,大阪北東部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,北河内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,中河内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,南河内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,泉北,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,泉南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,神戸市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,阪神臨海,0,0,138,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,阪神内陸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,篠山市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,東播臨海,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,東播内陸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,姫路市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,京都中部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,京都市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,京都南部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,北和,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,中和西部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,中和東部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,南和,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,大津湖南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,甲賀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,中部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,琵琶湖東北部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,橋本,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,和歌山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,伊賀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,不明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
通学,不明,近畿圏計,0,0,138,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
